Country,Last,Date,Previous,Highest,Lowest
Dominica,15,Dec-18,15,15,15
Equatorial Guinea,15,Dec-18,15,15,15
Ethiopia,15,Dec-18,15,15,15
Gambia,15,Dec-18,15,15,15
Ghana,15,Dec-18,15,15,15
Grenada,15,Dec-18,15,15,10
Honduras,15,Dec-18,15,15,12
Mauritius,15,Dec-18,15,15,15
Namibia,15,Dec-18,15,15,15
New Zealand,15,Dec-18,15,15,12.5
Nicaragua,15,Dec-18,15,15,15
North Korea,15,Dec-18,15,15,15
Seychelles,15,Dec-18,15,15,15
Sierra Leone,15,Dec-18,15,15,15
South Africa,15,Dec-18,14,15,14
Sri Lanka,15,Dec-18,15,15,11
Tonga,15,Dec-18,15,15,5
Turkmenistan,15,Dec-18,15,20,15
Vanuatu,15,Dec-18,12.5,15,12.5
Zimbabwe,15,Dec-18,15,15,15
Egypt,14,Dec-18,14,14,10
Guyana,14,Dec-18,14,16,14
Swaziland,14,Dec-18,14,14,14
Bolivia,13,Dec-18,13,13,13
Costa Rica,13,Dec-18,13,13,13
El Salvador,13,Dec-18,13,13,13
Nepal,13,Dec-18,13,13,13
Belize,12.5,Dec-18,12.5,12.5,12.5
St Lucia,12.5,Dec-18,12.5,15,12.5
Trinidad And Tobago,12.5,Dec-18,12.5,15,12.5
Botswana,12,Dec-18,12,12,10
Ecuador,12,Dec-18,12,14,12
Guatemala,12,Dec-18,12,12,12
Kazakhstan,12,Dec-18,12,15,12
Kyrgyzstan,12,Dec-18,12,12,12
Philippines,12,Dec-18,12,12,10
Venezuela,12,Dec-18,12,14,9
Lebanon,11,Dec-18,10,11,10
Afghanistan,10,Dec-18,10,10,10
Angola,10,Dec-18,10,10,10
Australia,10,Dec-18,10,10,10
Cambodia,10,Dec-18,10,10,10
Comoros,10,Dec-18,10,10,10
Djibouti,10,Dec-18,10,33,7
Haiti,10,Dec-18,10,10,10
Indonesia,10,Dec-18,10,10,10
Laos,10,Dec-18,10,10,10
Mongolia,10,Dec-18,10,10,10
Papua New Guinea,10,Dec-18,10,10,10
Paraguay,10,Dec-18,10,10,10
Solomon Islands,10,Dec-18,10,15,10
Somalia,10,Dec-18,10,10,10
South Korea,10,Dec-18,10,10,10
Suriname,10,Dec-18,10,10,10
Vietnam,10,Dec-18,10,10,10
Fiji,9,Dec-18,9,15,9
Iran,9,Dec-18,9,9,3
Japan,8,Dec-18,8,8,5
Liechtenstein,7.7,Dec-18,8,8,7.6
Switzerland,7.7,Dec-18,8,8,7.6
Bahamas,7.5,Dec-16,7.5,7.5,7.5
Panama,7,Dec-18,7,7,5
Singapore,7,Dec-18,7,7,5
Thailand,7,Dec-18,7,7,7
Malaysia,6,Dec-18,6,10,6
Canada,5,Dec-18,5,7,5
Eritrea,5,Dec-18,5,5,4
Micronesia,5,Dec-18,5,5,5
Myanmar,5,Dec-18,5,30,5
Nigeria,5,Dec-18,5,5,5
Saudi Arabia,5,Jan-18,5,5,5
Taiwan,5,Dec-18,5,5,5
United Arab Emirates,5,Jan-18,5,5,5
Yemen,5,Dec-18,5,5,2
Andorra,4.5,Dec-18,4.5,4.5,4.5
Guam,4,Dec-18,4,4,4
Aruba,1.5,Dec-18,1.5,3,1.5
Oman,0,Dec-18,0,0,0
United States,0,Dec-18,0,0,0
